epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.724663,0.95865,3.10667,1.02409,0.01042,1,0.07107,0.07107,0.31354,3.19131,0.70149,0,0,0
2,1.35312,1.0123,2.96898,1.15956,0.01075,1,0.07654,0.07654,0.31679,3.18343,0.69113,1.38184e-05,1.38184e-05,1.38184e-05
3,1.91634,0.83411,3.24409,0.90468,0.01075,1,0.07654,0.07654,0.31679,3.18343,0.69113,2.66937e-05,2.66937e-05,2.66937e-05
4,2.61316,1.13728,3.19799,1.26629,0.01111,1,0.11056,0.11056,0.31197,3.16969,0.67676,3.86259e-05,3.86259e-05,3.86259e-05
5,3.17333,1.19326,3.0768,1.1737,0.01111,1,0.11056,0.11056,0.31197,3.16969,0.67676,4.96149e-05,4.96149e-05,4.96149e-05
6,3.74565,0.79837,3.03308,0.96386,0.01111,1,0.11056,0.11056,0.31197,3.16969,0.67676,5.96608e-05,5.96608e-05,5.96608e-05
7,4.34677,0.32834,2.96426,0.70276,0.01149,1,0.24875,0.24875,0.31946,3.16465,0.66642,6.87635e-05,6.87635e-05,6.87635e-05
8,4.94943,0.32685,3.05826,0.8568,0.01149,1,0.24875,0.24875,0.31946,3.16465,0.66642,7.69231e-05,7.69231e-05,7.69231e-05
9,5.47407,0.87,3.16549,1.25579,0.01149,1,0.24875,0.24875,0.31946,3.16465,0.66642,8.41395e-05,8.41395e-05,8.41395e-05
10,5.99817,0.41697,2.84786,0.89375,0.01149,1,0.24875,0.24875,0.31946,3.16465,0.66642,9.04128e-05,9.04128e-05,9.04128e-05
11,6.61477,0.67831,2.81251,1.25173,0.0122,1,0.4975,0.4975,0.30811,3.16628,0.66134,9.5743e-05,9.5743e-05,9.5743e-05
12,7.19597,0.69446,2.66416,1.07059,0.0122,1,0.4975,0.4975,0.30811,3.16628,0.66134,0.00010013,0.00010013,0.00010013
13,7.71879,0.41752,2.89357,0.9483,0.0122,1,0.4975,0.4975,0.30811,3.16628,0.66134,0.000103574,0.000103574,0.000103574
14,8.32036,0.53101,2.70859,0.93625,0.0122,1,0.4975,0.4975,0.30811,3.16628,0.66134,0.000106075,0.000106075,0.000106075
15,8.80237,0.46819,2.78538,0.85521,0.0122,1,0.4975,0.4975,0.30811,3.16628,0.66134,0.000107632,0.000107632,0.000107632
16,9.3732,0.57156,2.62926,0.83439,0.0122,1,0.4975,0.4975,0.30811,3.16628,0.66134,0.000108247,0.000108247,0.000108247
17,9.897,0.71689,2.77954,1.02546,0.01449,1,0.995,0.995,0.31379,3.16615,0.65269,0.000107918,0.000107918,0.000107918
18,10.4202,0.67522,2.95823,1.03839,0.01449,1,0.995,0.995,0.31379,3.16615,0.65269,0.000106646,0.000106646,0.000106646
19,10.9881,0.40354,2.55148,0.54845,0.01449,1,0.995,0.995,0.31379,3.16615,0.65269,0.000104431,0.000104431,0.000104431
20,11.4759,0.31645,2.38477,0.82215,0.01449,1,0.995,0.995,0.31379,3.16615,0.65269,0.000101273,0.000101273,0.000101273
21,12.0057,0.44645,2.6116,0.88818,0.01449,1,0.995,0.995,0.31379,3.16615,0.65269,9.7172e-05,9.7172e-05,9.7172e-05
22,12.5942,0.53332,3.14605,0.98329,0.01449,1,0.995,0.995,0.31379,3.16615,0.65269,9.21276e-05,9.21276e-05,9.21276e-05
23,13.1227,0.59387,2.87551,0.87737,0.01449,1,0.995,0.995,0.31379,3.16615,0.65269,8.61401e-05,8.61401e-05,8.61401e-05
24,13.6237,0.36886,2.699,0.81249,0.01449,1,0.995,0.995,0.31379,3.16615,0.65269,7.92095e-05,7.92095e-05,7.92095e-05
25,14.1686,0.44788,2.85886,0.72277,0.01724,1,0.995,0.995,0.34521,3.10953,0.64486,7.13357e-05,7.13357e-05,7.13357e-05
26,14.6568,0.36167,2.51626,0.66313,0.01724,1,0.995,0.995,0.34521,3.10953,0.64486,6.25187e-05,6.25187e-05,6.25187e-05
27,15.1858,0.36479,2.3083,0.82096,0.01724,1,0.995,0.995,0.34521,3.10953,0.64486,5.27587e-05,5.27587e-05,5.27587e-05
